"CN 2008 - PRODCOM 2008",,
"Source","Target"
"0305 59 70","10.20.23.00"
"0305 59 80","10.20.23.00"
"0305 61 00","10.20.23.00"
"0305 62 00","10.20.23.00"
"0305 63 00","10.20.23.00"
"0305 69 10","10.20.23.00"
"0305 69 30","10.20.23.00"
"0305 69 50","10.20.23.00"
"0305 69 80","10.20.23.00"
"0306 11 10","10.20.31.00"
"0306 11 90","10.20.31.00"
"0306 12 10","10.20.31.00"
"0306 12 90","10.20.31.00"
"0306 13 10","10.20.31.00"
"0306 13 30","10.20.31.00"
"0306 13 40","10.20.31.00"
"0306 13 50","10.20.31.00"
"0306 13 80","10.20.31.00"
"0306 14 10","10.20.31.00"
"0306 14 30","10.20.31.00"
"0306 14 90","10.20.31.00"
"0306 19 10","10.20.31.00"
"0306 19 30","10.20.31.00"
"0306 19 90","10.20.31.00"
"0307 29 10","10.20.32.00"
"0307 29 90","10.20.32.00"
"0307 39 10","10.20.32.00"
"0307 39 90","10.20.32.00"
"0307 49 01","10.20.32.00"
"0307 49 11","10.20.32.00"
"0307 49 18","10.20.32.00"
"0307 49 31","10.20.32.00"
"0307 49 33","10.20.32.00"
"0307 49 35","10.20.32.00"
"0307 49 38","10.20.32.00"
"0307 49 51","10.20.32.00"
"0307 49 59","10.20.32.00"
"0307 49 71","10.20.32.00"
"0307 49 91","10.20.32.00"
"0307 49 99","10.20.32.00"
"0307 59 10","10.20.32.00"
"0307 59 90","10.20.32.00"
"0307 99 11","10.20.33.00"
"0307 99 13","10.20.33.00"
"0307 99 15","10.20.33.00"
"0307 99 18","10.20.33.00"
"0307 99 90","10.20.33.00"
"0401 10 10","10.51.11.33"
"0401 10 90","10.51.11.37"
"0401 20 11","10.51.11.42"
"0401 20 19","10.51.11.48"
"0401 20 91","10.51.11.42"
"0401 20 99","10.51.11.48"
"0401 30 11","10.51.12.10"
"0401 30 19","10.51.12.20"
"0401 30 31","10.51.12.30"
"0401 30 39","10.51.12.40"
"0401 30 91","10.51.12.30"
