year	pc8	optional
2002	24701325	24701325N1
2002	24701325	24701325N2
2002	24701330	24701330N1
2002	24701330	24701330N2
2002	24701350	24701350N1
2002	24701350	24701350N2
2002	24701370	24701370N1
2002	24701370	24701370N2
2002	24701390	24701390N1
2002	24701390	24701390N2
2003	17103030	17103030N1
2003	17103030	17103030N2
2003	17104332	17104332N1
2003	17104332	17104332N2
2003	17104333	17104333N1
2003	17104333	17104333N2
2003	17104335	17104335N1
2003	17104335	17104335N2
2003	17105130	17105130N1
2003	17105130	17105130N2
2003	17105150	17105150N1
2003	17105150	17105150N2
2003	17105232	17105232N1
2003	17105232	17105232N2
2003	17105232	17105232N3
2003	17105233	17105233N1
2003	17105233	17105233N2
2003	17105233	17105233N3
2003	17105235	17105235N1
2003	17105235	17105235N2
2003	17105235	17105235N3
2003	17105252	17105252N1
2003	17105252	17105252N2
2003	17105252	17105252N3
2003	17105253	17105253N1
2003	17105253	17105253N2
2003	17105253	17105253N3
2003	17105255	17105255N1
2003	17105255	17105255N2
2003	17105255	17105255N3
2003	17105272	17105272N1
2003	17105272	17105272N2
2003	17105272	17105272N3
2003	17105273	17105273N1
2003	17105273	17105273N2
2003	17105273	17105273N3
2003	17105275	17105275N1
2003	17105275	17105275N2
2003	17105275	17105275N3
2003	17105292	17105292N1
2003	17105292	17105292N2
2003	17105292	17105292N3
2003	17105293	17105293N1
2003	17105293	17105293N2
2003	17105293	17105293N3
2003	17105295	17105295N1
2003	17105295	17105295N2
2003	17105295	17105295N3
2003	17105332	17105332N1
2003	17105332	17105332N2
2003	17105333	17105333N1
2003	17105333	17105333N2
2003	17105335	17105335N1
2003	17105335	17105335N2
2003	17105352	17105352N1
2003	17105352	17105352N2
2003	17105353	17105353N1
2003	17105353	17105353N2
2003	17105355	17105355N1
2003	17105355	17105355N2
2003	17105402	17105402N1
2003	17105402	17105402N2
2003	17105402	17105402N3
2003	17105403	17105403N1
2003	17105403	17105403N2
2003	17105403	17105403N3
2003	17105405	17105405N1
2003	17105405	17105405N2
2003	17105405	17105405N3
2003	17203212	17203212N1
2003	17203212	17203212N2
2003	17203212	17203212N3
2003	17203213	17203213N1
2003	17203213	17203213N2
2003	17203213	17203213N3
2003	17203214	17203214N1
2003	17203214	17203214N2
2003	17203214	17203214N3
2003	17203215	17203215N1
2003	17203215	17203215N2
2003	17203215	17203215N3
2003	17203219	17203219N1
2003	17203219	17203219N2
2003	17203219	17203219N3
2003	17203292	17203292N1
2003	17203292	17203292N2
2003	17203292	17203292N3
2003	17203295	17203295N1
2003	17203295	17203295N2
2003	17203295	17203295N3
2003	17203299	17203299N1
2003	17203299	17203299N2
2003	17203299	17203299N3
2003	17203332	17203332N1
2003	17203332	17203332N2
2003	17203332	17203332N3
2003	17203334	17203334N1
