"Year","PRODCOM code","CN code"
"2003","2710T252","73029030"
"2003","2710T252","73029090"
"2003","2710T260","73012000"
"2003","2710T330","72101110"
"2003","2710T330","72101190"
"2003","2710T330","72101211"
"2003","2710T330","72101219"
"2003","2710T330","72101290"
"2003","2710T330","72105010"
"2003","2710T330","72105090"
"2003","2710T330","72107031"
"2003","2710T330","72109033"
"2003","2710T330","72121010"
"2003","2710T330","72124010"
"2003","2710T330","72124095"
"2003","2710T340","72102010"
"2003","2710T340","72102090"
"2003","2710T340","72104110"
"2003","2710T340","72104190"
"2003","2710T340","72104910"
"2003","2710T340","72104990"
"2003","2710T340","72106110"
"2003","2710T340","72106190"
"2003","2710T340","72106910"
"2003","2710T340","72106990"
"2003","2710T340","72109010"
"2003","2710T340","72109038"
"2003","2710T340","72109090"
"2003","2710T340","72259210"
"2003","2710T340","72259290"
"2003","2710T350","72103010"
"2003","2710T350","72103090"
"2003","2710T350","72259110"
"2003","2710T350","72259190"
"2003","2710T360","72107039"
"2003","2710T360","72107090"
"2003","271031Z0","72061000"
"2003","271031Z0","72069000"
"2003","271031Z0","72071111"
"2003","271031Z0","72071114"
"2003","271031Z0","72071116"
"2003","271031Z0","72071190"
"2003","271031Z0","72071290"
"2003","271031Z0","72071911"
"2003","271031Z0","72071914"
"2003","271031Z0","72071916"
"2003","271031Z0","72071919"
"2003","271031Z0","72071931"
"2003","271031Z0","72071939"
"2003","271031Z0","72071990"
"2003","271031Z0","72072011"
"2003","271031Z0","72072015"
"2003","271031Z0","72072017"
"2003","271031Z0","72072019"
"2003","271031Z0","72072039"
"2003","271031Z0","72072051"
"2003","271031Z0","72072057"
"2003","271031Z0","72072059"
"2003","271031Z0","72072055"
"2003","271032Z0","72189911"
"2003","271032Z0","72189919"
"2003","271032Z0","72189920"
"2003","271032Z0","72189991"
"2003","271032Z0","72189999"
"2003","271033Z0","72241000"
"2003","271033Z0","72249001"
"2003","271033Z0","72249005"
"2003","271033Z0","72249008"
"2003","271033Z0","72249019"
"2003","271033Z0","72249091"
"2003","271033Z0","72249099"
"2003","271033Z0","72249031"
"2003","271033Z0","72249039"
"2003","271041Z5","72191100"
"2003","271041Z5","72191210"
"2003","271041Z5","72191290"
"2003","271041Z5","72191310"
"2003","271041Z5","72191390"
"2003","271041Z5","72191410"
"2003","271041Z5","72191490"
"2003","271041Z6","72201100"
"2003","271041Z6","72201200"
"2003","271071Z0","72091500"
"2003","271071Z0","72091690"
"2003","271071Z0","72091790"
"2003","271071Z0","72091891"
"2003","271071Z0","72091899"
"2003","271071Z0","72092500"
"2003","271071Z0","72092690"
"2003","271071Z0","72092790"
"2003","271071Z0","72092890"
"2003","271071Z0","72099010"
"2003","271071Z0","72099090"
"2003","271071Z0","72255000"
"2003","273210Z5","72112310"
"2003","273210Z5","72112351"
"2003","273210Z5","72112399"
"2003","273210Z5","72112920"
"2003","273210Z5","72112950"
"2003","273210Z5","72112990"
"2003","27108190","72139149"
"2003","27108190","72139170"
"2003","27108190","72139190"
"2003","27108190","72139910"
"2003","27108190","72139990"
"2003","27108210","72279050"
"2003","27108290","72272000"
"2003","27108290","72279010"
"2003","27108290","72279095"
"2003","27108310","72142000"
"2003","27108310","72149910"
"2003","27108320","72143000"
"2003","27108330","72283041"
"2003","27108330","72283049"
"2003","27108340","72283020"
"2003","27108340","72284010"
"2003","27108350","72161000"
"2003","27108350","72162100"
"2003","27108350","72162200"
"2003","27108350","72164010"
"2003","27108350","72164090"
"2003","27108350","72165010"
"2003","27108350","72165091"
"2003","27108350","72165099"
"2003","27108350","72169910"
"2003","27108350","72169990"
"2003","27108350","72287010"
"2003","27108350","72287031"
"2003","27108360","72141000"
"2003","27108360","72149110"
"2003","27108360","72149190"
"2003","27108360","72149931"
"2003","27108360","72149939"
"2003","27108360","72149950"
"2003","27108360","72149961"
"2003","27108360","72149969"
"2003","27108360","72149980"
"2003","27108360","72149990"
"2003","27108360","72159010"
"2003","27108360","72288090"
"2003","27108370","72282011"
"2003","27108370","72282019"
"2003","27108370","72282030"
"2003","27108370","72283061"
"2003","27108370","72283069"
"2003","27108370","72283070"
"2003","27108370","72283089"
"2003","27108370","72284090"
"2003","27108370","72286010"
"2003","27108370","72288010"
"2003","27109110","72163111"
"2003","27109110","72163119"
"2003","27109110","72163191"
"2003","27109110","72163199"
"2003","27109120","72163211"
"2003","27109120","72163219"
"2003","27109120","72163291"
"2003","27109120","72163299"
"2003","27109130","72163310"
"2003","27109130","72163390"
