"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit","Description of supplementary unit"
"314829","5","020230900080","020230000080","0202 30 90","0202 30","-- Other","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin in one piece, crop, chuck and blade and brisket cuts)",,
"314830","3","020300000080","020021000090","0203","02"," Meat of swine, fresh, chilled or frozen","Meat of swine, fresh, chilled or frozen",,
"314831","4","020311000010","020300000080",,"0203","- Fresh or chilled",,,
"314832","5","020311000080","020311000010","0203 11",,"-- Carcases and half-carcases","Fresh or chilled carcases and half-carcases of swine",,
"314833","6","020311100080","020311000080","0203 11 10","0203 11","--- Of domestic swine","Fresh or chilled domestic swine carcases and half-carcases",,
"314834","6","020311900080","020311000080","0203 11 90","0203 11","--- Other","Fresh or chilled non-domestic swine carcases and half-carcases",,
"314835","5","020312000080","020311000010","0203 12",,"-- Hams, shoulders and cuts thereof, with bone in","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",,
"314836","6","020312110010","020312000080",,"0203 12","--- Of domestic swine",,,
"314837","7","020312110080","020312110010","0203 12 11",,"---- Hams and cuts thereof","Fresh or chilled with bone in, domestic swine hams and cuts thereof",,
"314838","7","020312190080","020312110010","0203 12 19",,"---- Shoulders and cuts thereof","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof",,
"314839","6","020312900080","020312000080","0203 12 90","0203 12","--- Other","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine",,
"314840","5","020319000080","020311000010","0203 19",,"-- Other","Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",,
"314841","6","020319110010","020319000080",,"0203 19","--- Of domestic swine",,,
"314842","7","020319110080","020319110010","0203 19 11",,"---- Fore-ends and cuts thereof","Fresh or chilled fore-ends and cuts thereof of domestic swine",,
"314843","7","020319130080","020319110010","0203 19 13",,"---- Loins and cuts thereof, with bone in","Fresh or chilled loins and cuts thereof of domestic swine",,
"314844","7","020319150080","020319110010","0203 19 15",,"---- Bellies (streaky) and cuts thereof","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine",,
"314845","7","020319550010","020319110010",,,"---- Other",,,
"314846","8","020319550080","020319550010","0203 19 55",,"----- Boneless","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)",,
