"Order","Level","Code","Parent","Code","Parent","Description","Self-explanatory texts","Supplementary unit"
"485007","6","010639100080","010639000080","0106 39 10","0106 39","Pigeons","Live pigeons","p/st"
"485008","6","010639900080","010639000080","0106 39 90","0106 39","Other","Live birds (excl. birds of prey, psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"" and pigeons)","-"
"485009","4","010690000080","010600000080","0106 90 00","0106","Other","Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)","-"
"485010","2","020020000090","010010000090","02","I","CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL","MEAT AND EDIBLE MEAT OFFAL",
"485011","3","020100000080","020020000090","0201","02","Meat of bovine animals, fresh or chilled","Meat of bovine animals, fresh or chilled",
"485012","4","020110000080","020100000080","0201 10 00","0201","Carcases and half-carcases","Carcases or half-carcases of bovine animals, fresh or chilled","-"
"485013","4","020120000080","020100000080","0201 20","0201","Other cuts with bone in","Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",
"485014","5","020120200080","020120000080","0201 20 20","0201 20","‘Compensated’ quarters","""Compensated"" quarters of bovine animals with bone in, fresh or chilled","-"
"485015","5","020120300080","020120000080","0201 20 30","0201 20","Unseparated or separated forequarters","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled","-"
"485016","5","020120500080","020120000080","0201 20 50","0201 20","Unseparated or separated hindquarters","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled","-"
"485017","5","020120900080","020120000080","0201 20 90","0201 20","Other","Fresh or chilled bovine cuts, with bone in (excl. carcases and halfcarcases, ""compensated quarters"", forequarters and hindquarters)","-"
"485018","4","020130000080","020100000080","0201 30 00","0201","Boneless","Fresh or chilled bovine meat, boneless","-"
"485019","3","020200000080","020020000090","0202","02","Meat of bovine animals, frozen","Meat of bovine animals, frozen",
"485020","4","020210000080","020200000080","0202 10 00","0202","Carcases and half-carcases","Frozen bovine carcases and halfcarcases","-"
"485021","4","020220000080","020200000080","0202 20","0202","Other cuts with bone in","Frozen bovine cuts, with bone in (excl. carcases and halfcarcases)",
"485022","5","020220100080","020220000080","0202 20 10","0202 20","‘Compensated’ quarters","Frozen ""compensated"" bovine quarters, with bone in","-"
"485023","5","020220300080","020220000080","0202 20 30","0202 20","Unseparated or separated forequarters","Frozen unseparated or separated bovine forequarters, with bone in","-"
"485024","5","020220500080","020220000080","0202 20 50","0202 20","Unseparated or separated hindquarters","Frozen unseparated or separated bovine hindquarters, with bone in","-"
"485025","5","020220900080","020220000080","0202 20 90","0202 20","Other","Frozen bovine cuts, with bone in (excl. carcases and halfcarcases, ""compensated"" quarters, forequarters and hindquarters)","-"
"485026","4","020230000080","020200000080","0202 30","0202","Boneless","Frozen, boneless meat of bovine animals",
"485027","5","020230100080","020230000080","0202 30 10","0202 30","Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; ‘compensated’ quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin in one peace","-"
"485028","5","020230500080","020230000080","0202 30 50","0202 30","Crop, chuck and blade and brisket cuts","Frozen bovine boneless crop, chuck and blade and brisket cuts","-"
"485029","5","020230900080","020230000080","0202 30 90","0202 30","Other","Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin in one piece, crop, chuck and blade and brisket cuts)","-"
"485030","3","020300000080","020020000090","0203","02","Meat of swine, fresh, chilled or frozen","Meat of swine, fresh, chilled or frozen",
"485031","4","020311000010","020300000080",,"0203","Fresh or chilled",,
"485032","5","020311000080","020311000010","0203 11",,"Carcases and half-carcases","Fresh or chilled carcases and half-carcases of swine",
"485033","6","020311100080","020311000080","0203 11 10","0203 11","Of domestic swine","Fresh or chilled domestic swine carcases and half-carcases","-"
"485034","6","020311900080","020311000080","0203 11 90","0203 11","Other","Fresh or chilled non-domestic swine carcases and half-carcases","-"
"485035","5","020312000080","020311000010","0203 12",,"Hams, shoulders and cuts thereof, with bone in","Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",
"485036","6","020312110010","020312000080",,"0203 12","Of domestic swine",,
"485037","7","020312110080","020312110010","0203 12 11",,"Hams and cuts thereof","Fresh or chilled with bone in, domestic swine hams and cuts thereof","-"
"485038","7","020312190080","020312110010","0203 12 19",,"Shoulders and cuts thereof","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof","-"
"485039","6","020312900080","020312000080","0203 12 90","0203 12","Other","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine","-"
"485040","5","020319000080","020311000010","0203 19",,"Other","Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",
"485041","6","020319110010","020319000080",,"0203 19","Of domestic swine",,
"485042","7","020319110080","020319110010","0203 19 11",,"Fore-ends and cuts thereof","Fresh or chilled fore-ends and cuts thereof of domestic swine","-"
"485043","7","020319130080","020319110010","0203 19 13",,"Loins and cuts thereof, with bone in","Fresh or chilled loins and cuts thereof of domestic swine","-"
"485044","7","020319150080","020319110010","0203 19 15",,"Bellies (streaky) and cuts thereof","Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine","-"
"485045","7","020319550010","020319110010",,,"Other",,
"485046","8","020319550080","020319550010","0203 19 55",,"Boneless","Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)","-"
"485047","8","020319590080","020319550010","0203 19 59",,"Other","Fresh or chilled boneless meat of domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","-"
"485048","6","020319900080","020319000080","0203 19 90","0203 19","Other","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, boneless)","-"
"485049","4","020321000010","020300000080",,"0203","Frozen",,
"485050","5","020321000080","020321000010","0203 21",,"Carcases and half-carcases","Frozen carcases and half-carcases of swine",
"485051","6","020321100080","020321000080","0203 21 10","0203 21","Of domestic swine","Frozen domestic swine carcases and half-carcases","-"
"485052","6","020321900080","020321000080","0203 21 90","0203 21","Other","Frozen non-domestic swine carcases and half-carcases","-"
"485053","5","020322000080","020321000010","0203 22",,"Hams, shoulders and cuts thereof, with bone in","Frozen hams, shoulders and cuts thereof of swine, boneless",
"485054","6","020322110010","020322000080",,"0203 22","Of domestic swine",,
"485055","7","020322110080","020322110010","0203 22 11",,"Hams and cuts thereof","Frozen boneless hams and cuts thereof of domestic swine","-"
"485056","7","020322190080","020322110010","0203 22 19",,"Shoulders and cuts thereof","Frozen boneless shoulders and cuts thereof of domestic swine","-"
"485057","6","020322900080","020322000080","0203 22 90","0203 22","Other","Frozen boneless hams, shoulders and cuts thereof of non-domestic swine","-"
"485058","5","020329000080","020321000010","0203 29",,"Other","Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)",
"485059","6","020329110010","020329000080",,"0203 29","Of domestic swine",,
"485060","7","020329110080","020329110010","0203 29 11",,"Fore-ends and cuts thereof","Frozen fore-ends and cuts thereof of domestic swine","-"
"485061","7","020329130080","020329110010","0203 29 13",,"Loins and cuts thereof, with bone in","Frozen loins and cuts thereof of domestic swine, with bone in","-"
"485062","7","020329150080","020329110010","0203 29 15",,"Bellies (streaky) and cuts thereof","Frozen bellies ""streaky"" and cuts thereof of domestic swine","-"
"485063","7","020329550010","020329110010",,,"Other",,
"485064","8","020329550080","020329550010","0203 29 55",,"Boneless","Frozen boneles meat of domestic swine (excl. bellies and cuts thereof)","-"
"485065","8","020329590080","020329550010","0203 29 59",,"Other","Frozen boneless meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)","-"
"485066","6","020329900080","020329000080","0203 29 90","0203 29","Other","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof)","-"
"485067","3","020400000080","020020000090","0204","02","Meat of sheep or goats, fresh, chilled or frozen","Meat of sheep or goats, fresh, chilled or frozen",
"485068","4","020410000080","020400000080","0204 10 00","0204","Carcases and half-carcases of lamb, fresh or chilled","Fresh or chilled lamb carcases and half-carcases","-"
"485069","4","020421000010","020400000080",,"0204","Other meat of sheep, fresh or chilled",,
"485070","5","020421000080","020421000010","0204 21 00",,"Carcases and half-carcases","Fresh or chilled sheep carcases and half-carcases (excl. lambs)","-"
"485071","5","020422000080","020421000010","0204 22",,"Other cuts with bone in","Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",
"485072","6","020422100080","020422000080","0204 22 10","0204 22","Short forequarters","Fresh or chilled sheep short forequarters","-"
"485073","6","020422300080","020422000080","0204 22 30","0204 22","Chines and/or best ends","Fresh or chilled sheep chines and/or best ends","-"
"485074","6","020422500080","020422000080","0204 22 50","0204 22","Legs","Fresh or chilled sheep legs","-"
"485075","6","020422900080","020422000080","0204 22 90","0204 22","Other","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"485076","5","020423000080","020421000010","0204 23 00",,"Boneless","Fresh or chilled boneless cuts of sheep","-"
"485077","4","020430000080","020400000080","0204 30 00","0204","Carcases and half-carcases of lamb, frozen","Frozen lamb carcases and half-carcases","-"
"485078","4","020441000010","020400000080",,"0204","Other meat of sheep, frozen",,
"485079","5","020441000080","020441000010","0204 41 00",,"Carcases and half-carcases","Frozen sheep carcases and half-carcases (excl. lambs)","-"
"485080","5","020442000080","020441000010","0204 42",,"Other cuts with bone in","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",
"485081","6","020442100080","020442000080","0204 42 10","0204 42","Short forequarters","Frozen sheep short forequarters","-"
"485082","6","020442300080","020442000080","0204 42 30","0204 42","Chines and/or best ends","Frozen sheep chines and/or best ends","-"
"485083","6","020442500080","020442000080","0204 42 50","0204 42","Legs","Frozen sheep legs","-"
"485084","6","020442900080","020442000080","0204 42 90","0204 42","Other","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)","-"
"485085","5","020443000080","020441000010","0204 43",,"Boneless","Frozen boneless cuts of sheep",
"485086","6","020443100080","020443000080","0204 43 10","0204 43","Of lamb","Frozen meat of lambs, boneless, frozen","-"
