cn2003	pc2003	many_one	one_many	many_many	simple	pc8plus	synthetic	notpc
"19059055"	"15821350"	0	0	0	1	"15821350"	0	0
"19059060"	"15811200"	0	0	0	1	"15811200"	0	0
"19059090"	"15821390"	0	0	0	1	"15821390"	0	0
"20011000"	"15331500"	1	0	0	0	"15331500"	0	0
"20019010"	"15331500"	1	0	0	0	"15331500"	0	0
"20019020"	"15331500"	1	0	0	0	"15331500"	0	0
"20019030"	"15331500"	1	0	0	0	"15331500"	0	0
"20019040"	"15331500"	1	0	0	0	"15331500"	0	0
"20019050"	"15331500"	1	0	0	0	"15331500"	0	0
"20019060"	"15331500"	1	0	0	0	"15331500"	0	0
"20019065"	"15331500"	1	0	0	0	"15331500"	0	0
"20019070"	"15331500"	1	0	0	0	"15331500"	0	0
"20019075"	"15331500"	1	0	0	0	"15331500"	0	0
"20019085"	"15331500"	1	0	0	0	"15331500"	0	0
"20019091"	"15331500"	1	0	0	0	"15331500"	0	0
"20019093"	"15331500"	1	0	0	0	"15331500"	0	0
"20019096"	"15331500"	1	0	0	0	"15331500"	0	0
"20021010"	"15331423"	1	0	0	0	"15331423"	0	0
"20021090"	"15331423"	1	0	0	0	"15331423"	0	0
"20029011"	"15331425"	1	0	0	0	"15331425"	0	0
"20029019"	"15331425"	1	0	0	0	"15331425"	0	0
"20029031"	"15331427"	1	0	0	0	"15331427"	0	0
"20029039"	"15331427"	1	0	0	0	"15331427"	0	0
"20029091"	"15331427"	1	0	0	0	"15331427"	0	0
"20029099"	"15331427"	1	0	0	0	"15331427"	0	0
"20031020"	"15331430"	1	0	0	0	"15331430"	0	0
"20031030"	"15331430"	1	0	0	0	"15331430"	0	0
"20032000"	"15331430"	1	0	0	0	"15331430"	0	0
"20039000"	"15331430"	1	0	0	0	"15331430"	0	0
"20041010"	"15311250"	1	0	0	0	"15311250"	0	0
"20041091"	"15311250"	1	0	0	0	"15311250"	0	0
"20041099"	"15311250"	1	0	0	0	"15311250"	0	0
"20049010"	"15331440"	1	0	0	0	"15331440"	0	0
"20049030"	"15331440"	1	0	0	0	"15331440"	0	0
"20049050"	"15331440"	1	0	0	0	"15331440"	0	0
"20049091"	"15331440"	1	0	0	0	"15331440"	0	0
"20049098"	"15331440"	1	0	0	0	"15331440"	0	0
"20051000"	"15881030"	0	0	0	1	"15881030"	0	0
"20052010"	"15311270"	0	0	0	1	"15311270"	0	0
"20052020"	"15311290"	1	0	0	0	"15311290"	0	0
"20052080"	"15311290"	1	0	0	0	"15311290"	0	0
"20054000"	"15331462"	0	0	0	1	"15331462"	0	0
"20055100"	"15331463"	0	0	0	1	"15331463"	0	0
"20055900"	"15331464"	0	0	0	1	"15331464"	0	0
"20056000"	"15331465"	0	0	0	1	"15331465"	0	0
"20057010"	"15331466"	1	0	0	0	"15331466"	0	0
"20057090"	"15331466"	1	0	0	0	"15331466"	0	0
"20058000"	"15331467"	0	0	0	1	"15331467"	0	0
"20059010"	"15331490"	1	0	0	0	"15331490"	0	0
"20059030"	"15331490"	1	0	0	0	"15331490"	0	0
"20059050"	"15331490"	1	0	0	0	"15331490"	0	0
"20059060"	"15331490"	1	0	0	0	"15331490"	0	0
"20059070"	"15331490"	1	0	0	0	"15331490"	0	0
"20059075"	"15331461"	0	0	0	1	"15331461"	0	0
"20059080"	"15331490"	1	0	0	0	"15331490"	0	0
"20060010"	"15842400"	1	0	0	0	"15842400"	0	0
"20060031"	"15842400"	1	0	0	0	"15842400"	0	0
"20060035"	"15842400"	1	0	0	0	"15842400"	0	0
"20060038"	"15842400"	1	0	0	0	"15842400"	0	0
"20060091"	"15842400"	1	0	0	0	"15842400"	0	0
"20060099"	"15842400"	1	0	0	0	"15842400"	0	0
"20071010"	"15881050"	1	0	0	0	"15881050"	0	0
"20071091"	"15881050"	1	0	0	0	"15881050"	0	0
"20071099"	"15881050"	1	0	0	0	"15881050"	0	0
"20079110"	"15332230"	1	0	0	0	"15332230"	0	0
"20079130"	"15332230"	1	0	0	0	"15332230"	0	0
"20079190"	"15332230"	1	0	0	0	"15332230"	0	0
"20079910"	"15332290"	1	0	0	0	"15332290"	0	0
"20079920"	"15332290"	1	0	0	0	"15332290"	0	0
"20079931"	"15332290"	1	0	0	0	"15332290"	0	0
"20079933"	"15332290"	1	0	0	0	"15332290"	0	0
"20079935"	"15332290"	1	0	0	0	"15332290"	0	0
"20079939"	"15332290"	1	0	0	0	"15332290"	0	0
"20079951"	"15332290"	1	0	0	0	"15332290"	0	0
"20079955"	"15332290"	1	0	0	0	"15332290"	0	0
"20079958"	"15332290"	1	0	0	0	"15332290"	0	0
"20079991"	"15332290"	1	0	0	0	"15332290"	0	0
"20079993"	"15332290"	1	0	0	0	"15332290"	0	0
"20079998"	"15332290"	1	0	0	0	"15332290"	0	0
"20081110"	"15332330"	1	0	0	0	"15332330"	0	0
"20081192"	"15332330"	1	0	0	0	"15332330"	0	0
"20081194"	"15332330"	1	0	0	0	"15332330"	0	0
"20081196"	"15332330"	1	0	0	0	"15332330"	0	0
"20081198"	"15332330"	1	0	0	0	"15332330"	0	0
"20081911"	"15332390"	1	0	0	0	"15332390"	0	0
"20081913"	"15332390"	1	0	0	0	"15332390"	0	0
"20081919"	"15332390"	1	0	0	0	"15332390"	0	0
"20081951"	"15332390"	1	0	0	0	"15332390"	0	0
"20081959"	"15332390"	1	0	0	0	"15332390"	0	0
"20081993"	"15332390"	1	0	0	0	"15332390"	0	0
"20081995"	"15332390"	1	0	0	0	"15332390"	0	0
"20081999"	"15332390"	1	0	0	0	"15332390"	0	0
"20082011"	"15332550"	1	0	0	0	"15332550"	0	0
"20082019"	"15332550"	1	0	0	0	"15332550"	0	0
"20082031"	"15332550"	1	0	0	0	"15332550"	0	0
"20082039"	"15332550"	1	0	0	0	"15332550"	0	0
"20082051"	"15332550"	1	0	0	0	"15332550"	0	0
"20082059"	"15332550"	1	0	0	0	"15332550"	0	0
"20082071"	"15332550"	1	0	0	0	"15332550"	0	0
"20082079"	"15332550"	1	0	0	0	"15332550"	0	0
"20082091"	"15332550"	1	0	0	0	"15332550"	0	0
"20082099"	"15332550"	1	0	0	0	"15332550"	0	0
"20083011"	"15332550"	1	0	0	0	"15332550"	0	0
"20083019"	"15332550"	1	0	0	0	"15332550"	0	0
"20083031"	"15332550"	1	0	0	0	"15332550"	0	0
"20083039"	"15332550"	1	0	0	0	"15332550"	0	0
"20083051"	"15332550"	1	0	0	0	"15332550"	0	0
"20083055"	"15332550"	1	0	0	0	"15332550"	0	0
"20083059"	"15332550"	1	0	0	0	"15332550"	0	0
"20083071"	"15332550"	1	0	0	0	"15332550"	0	0
"20083075"	"15332550"	1	0	0	0	"15332550"	0	0
"20083079"	"15332550"	1	0	0	0	"15332550"	0	0
"20083090"	"15332550"	1	0	0	0	"15332550"	0	0
"20084011"	"15332550"	1	0	0	0	"15332550"	0	0
"20084019"	"15332550"	1	0	0	0	"15332550"	0	0
"20084021"	"15332550"	1	0	0	0	"15332550"	0	0
"20084029"	"15332550"	1	0	0	0	"15332550"	0	0
"20084031"	"15332550"	1	0	0	0	"15332550"	0	0
"20084039"	"15332550"	1	0	0	0	"15332550"	0	0
"20084051"	"15332550"	1	0	0	0	"15332550"	0	0
"20084059"	"15332550"	1	0	0	0	"15332550"	0	0
"20084071"	"15332550"	1	0	0	0	"15332550"	0	0
"20084079"	"15332550"	1	0	0	0	"15332550"	0	0
"20084091"	"15332550"	1	0	0	0	"15332550"	0	0
"20084099"	"15332550"	1	0	0	0	"15332550"	0	0
"20085011"	"15332550"	1	0	0	0	"15332550"	0	0
"20085019"	"15332550"	1	0	0	0	"15332550"	0	0
"20085031"	"15332550"	1	0	0	0	"15332550"	0	0
"20085039"	"15332550"	1	0	0	0	"15332550"	0	0
"20085051"	"15332550"	1	0	0	0	"15332550"	0	0
"20085059"	"15332550"	1	0	0	0	"15332550"	0	0
"20085061"	"15332550"	1	0	0	0	"15332550"	0	0
"20085069"	"15332550"	1	0	0	0	"15332550"	0	0
"20085071"	"15332550"	1	0	0	0	"15332550"	0	0
"20085079"	"15332550"	1	0	0	0	"15332550"	0	0
"20085092"	"15332550"	1	0	0	0	"15332550"	0	0
"20085094"	"15332550"	1	0	0	0	"15332550"	0	0
"20085099"	"15332550"	1	0	0	0	"15332550"	0	0
"20086011"	"15332550"	1	0	0	0	"15332550"	0	0
"20086019"	"15332550"	1	0	0	0	"15332550"	0	0
"20086031"	"15332550"	1	0	0	0	"15332550"	0	0
"20086039"	"15332550"	1	0	0	0	"15332550"	0	0
"20086051"	"15332550"	1	0	0	0	"15332550"	0	0
"20086059"	"15332550"	1	0	0	0	"15332550"	0	0
"20086061"	"15332550"	1	0	0	0	"15332550"	0	0
"20086069"	"15332550"	1	0	0	0	"15332550"	0	0
"20086071"	"15332550"	1	0	0	0	"15332550"	0	0
"20086079"	"15332550"	1	0	0	0	"15332550"	0	0
"20086091"	"15332550"	1	0	0	0	"15332550"	0	0
"20086099"	"15332550"	1	0	0	0	"15332550"	0	0
"20087011"	"15332550"	1	0	0	0	"15332550"	0	0
"20087019"	"15332550"	1	0	0	0	"15332550"	0	0
"20087031"	"15332550"	1	0	0	0	"15332550"	0	0
"20087039"	"15332550"	1	0	0	0	"15332550"	0	0
"20087051"	"15332550"	1	0	0	0	"15332550"	0	0
"20087059"	"15332550"	1	0	0	0	"15332550"	0	0
"20087061"	"15332550"	1	0	0	0	"15332550"	0	0
"20087069"	"15332550"	1	0	0	0	"15332550"	0	0
"20087071"	"15332550"	1	0	0	0	"15332550"	0	0
"20087079"	"15332550"	1	0	0	0	"15332550"	0	0
"20087092"	"15332550"	1	0	0	0	"15332550"	0	0
"20087094"	"15332550"	1	0	0	0	"15332550"	0	0
"20087099"	"15332550"	1	0	0	0	"15332550"	0	0
"20088011"	"15332550"	1	0	0	0	"15332550"	0	0
"20088019"	"15332550"	1	0	0	0	"15332550"	0	0
"20088031"	"15332550"	1	0	0	0	"15332550"	0	0
"20088039"	"15332550"	1	0	0	0	"15332550"	0	0
"20088050"	"15332550"	1	0	0	0	"15332550"	0	0
"20088070"	"15332550"	1	0	0	0	"15332550"	0	0
"20088091"	"15332550"	1	0	0	0	"15332550"	0	0
"20088099"	"15332550"	1	0	0	0	"15332550"	0	0
"20089100"	"15332550"	1	0	0	0	"15332550"	0	0
"20089212"	"15332550"	1	0	0	0	"15332550"	0	0
"20089214"	"15332550"	1	0	0	0	"15332550"	0	0
"20089216"	"15332550"	1	0	0	0	"15332550"	0	0
"20089218"	"15332550"	1	0	0	0	"15332550"	0	0
"20089232"	"15332550"	1	0	0	0	"15332550"	0	0
"20089234"	"15332550"	1	0	0	0	"15332550"	0	0
"20089236"	"15332550"	1	0	0	0	"15332550"	0	0
"20089238"	"15332550"	1	0	0	0	"15332550"	0	0
"20089251"	"15332550"	1	0	0	0	"15332550"	0	0
"20089259"	"15332550"	1	0	0	0	"15332550"	0	0
"20089272"	"15332550"	1	0	0	0	"15332550"	0	0
"20089274"	"15332550"	1	0	0	0	"15332550"	0	0
"20089276"	"15332550"	1	0	0	0	"15332550"	0	0
"20089278"	"15332550"	1	0	0	0	"15332550"	0	0
"20089292"	"15332550"	1	0	0	0	"15332550"	0	0
"20089293"	"15332550"	1	0	0	0	"15332550"	0	0
"20089294"	"15332550"	1	0	0	0	"15332550"	0	0
"20089296"	"15332550"	1	0	0	0	"15332550"	0	0
"20089297"	"15332550"	1	0	0	0	"15332550"	0	0
"20089298"	"15332550"	1	0	0	0	"15332550"	0	0
"20089911"	"15332550"	1	0	0	0	"15332550"	0	0
"20089919"	"15332550"	1	0	0	0	"15332550"	0	0
"20089921"	"15332550"	1	0	0	0	"15332550"	0	0
"20089923"	"15332550"	1	0	0	0	"15332550"	0	0
"20089925"	"15332550"	1	0	0	0	"15332550"	0	0
"20089926"	"15332550"	1	0	0	0	"15332550"	0	0
"20089928"	"15332550"	1	0	0	0	"15332550"	0	0
"20089932"	"15332550"	1	0	0	0	"15332550"	0	0
"20089933"	"15332550"	1	0	0	0	"15332550"	0	0
"20089934"	"15332550"	1	0	0	0	"15332550"	0	0
"20089936"	"15332550"	1	0	0	0	"15332550"	0	0
"20089937"	"15332550"	1	0	0	0	"15332550"	0	0
"20089938"	"15332550"	1	0	0	0	"15332550"	0	0
"20089940"	"15332550"	1	0	0	0	"15332550"	0	0
"20089941"	"15332550"	1	0	0	0	"15332550"	0	0
"20089943"	"15332550"	1	0	0	0	"15332550"	0	0
"20089945"	"15332550"	1	0	0	0	"15332550"	0	0
"20089946"	"15332550"	1	0	0	0	"15332550"	0	0
"20089947"	"15332550"	1	0	0	0	"15332550"	0	0
"20089949"	"15332550"	1	0	0	0	"15332550"	0	0
"20089951"	"15332550"	1	0	0	0	"15332550"	0	0
"20089953"	"15332550"	1	0	0	0	"15332550"	0	0
"20089955"	"15332550"	1	0	0	0	"15332550"	0	0
"20089961"	"15332550"	1	0	0	0	"15332550"	0	0
"20089962"	"15332550"	1	0	0	0	"15332550"	0	0
"20089968"	"15332550"	1	0	0	0	"15332550"	0	0
"20089972"	"15332550"	1	0	0	0	"15332550"	0	0
"20089978"	"15332550"	1	0	0	0	"15332550"	0	0
