cn2003	notpc	hs6plus
"03079915"	0	"27"
"03079918"	0	"27"
"03079990"	0	"27"
"04011010"	0	"040110"
"04011090"	0	"040110"
"04012011"	0	"040120"
"04012019"	0	"040120"
"04012091"	0	"040120"
"04012099"	0	"040120"
"04013011"	0	"040130"
"04013019"	0	"040130"
"04013031"	0	"040130"
"04013039"	0	"040130"
"04013091"	0	"040130"
"04013099"	0	"040130"
"04021011"	0	"040210"
"04021019"	0	"040210"
"04021091"	0	"040210"
"04021099"	0	"040210"
"04022111"	0	"45"
"04022117"	0	"45"
"04022119"	0	"45"
"04022191"	0	"45"
"04022199"	0	"45"
"04022911"	0	"45"
"04022915"	0	"45"
"04022919"	0	"45"
"04022991"	0	"45"
"04022999"	0	"45"
"04029111"	0	"040291"
"04029119"	0	"040291"
"04029131"	0	"040291"
"04029139"	0	"040291"
"04029151"	0	"040291"
"04029159"	0	"040291"
"04029191"	0	"040291"
"04029199"	0	"040291"
"04029911"	0	"040299"
"04029919"	0	"040299"
"04029931"	0	"040299"
"04029939"	0	"040299"
"04029991"	0	"040299"
"04029999"	0	"040299"
"04031011"	0	"887"
"04031013"	0	"887"
"04031019"	0	"887"
"04031031"	0	"887"
"04031033"	0	"887"
"04031039"	0	"887"
"04031051"	0	"887"
"04031053"	0	"887"
"04031059"	0	"887"
"04031091"	0	"887"
"04031093"	0	"887"
"04031099"	0	"887"
"04039011"	0	"887"
"04039013"	0	"887"
"04039019"	0	"887"
"04039031"	0	"887"
"04039033"	0	"887"
"04039039"	0	"887"
"04039051"	0	"887"
"04039053"	0	"887"
"04039059"	0	"887"
"04039061"	0	"887"
"04039063"	0	"887"
"04039069"	0	"887"
"04039071"	0	"887"
"04039073"	0	"887"
"04039079"	0	"887"
"04039091"	0	"887"
"04039093"	0	"887"
"04039099"	0	"887"
"04041002"	0	"040410"
"04041004"	0	"040410"
"04041006"	0	"040410"
"04041012"	0	"040410"
"04041014"	0	"040410"
"04041016"	0	"040410"
"04041026"	0	"040410"
"04041028"	0	"040410"
"04041032"	0	"040410"
"04041034"	0	"040410"
"04041036"	0	"040410"
"04041038"	0	"040410"
"04041048"	0	"040410"
"04041052"	0	"040410"
"04041054"	0	"040410"
"04041056"	0	"040410"
"04041058"	0	"040410"
"04041062"	0	"040410"
"04041072"	0	"040410"
"04041074"	0	"040410"
"04041076"	0	"040410"
"04041078"	0	"040410"
"04041082"	0	"040410"
"04041084"	0	"040410"
"04049021"	0	"040490"
"04049023"	0	"040490"
"04049029"	0	"040490"
"04049081"	0	"040490"
"04049083"	0	"040490"
"04049089"	0	"040490"
"04051011"	0	"888"
"04051019"	0	"888"
"04051030"	0	"888"
"04051050"	0	"888"
"04051090"	0	"888"
"04052010"	0	"040520"
"04052030"	0	"040520"
"04052090"	0	"040520"
"04059010"	0	"888"
"04059090"	0	"888"
"04061020"	0	"040610"
"04061080"	0	"040610"
"04062010"	0	"46"
"04062090"	0	"46"
"04063010"	0	"040630"
"04063031"	0	"040630"
"04063039"	0	"040630"
"04063090"	0	"040630"
"04064010"	0	"46"
"04064050"	0	"46"
"04064090"	0	"46"
"04069001"	0	"46"
"04069002"	0	"46"
"04069003"	0	"46"
"04069004"	0	"46"
"04069005"	0	"46"
"04069006"	0	"46"
"04069013"	0	"46"
"04069015"	0	"46"
"04069017"	0	"46"
"04069018"	0	"46"
"04069019"	0	"46"
"04069021"	0	"46"
"04069023"	0	"46"
"04069025"	0	"46"
"04069027"	0	"46"
"04069029"	0	"46"
"04069031"	0	"46"
"04069033"	0	"46"
"04069035"	0	"46"
"04069037"	0	"46"
"04069039"	0	"46"
"04069050"	0	"46"
"04069061"	0	"46"
"04069063"	0	"46"
"04069069"	0	"46"
"04069073"	0	"46"
"04069075"	0	"46"
"04069076"	0	"46"
"04069078"	0	"46"
"04069079"	0	"46"
"04069081"	0	"46"
"04069082"	0	"46"
"04069084"	0	"46"
"04069085"	0	"46"
"04069086"	0	"46"
"04069087"	0	"46"
"04069088"	0	"46"
"04069093"	0	"46"
"04069099"	0	"46"
"04070011"	1	""
"04070019"	1	""
"04070030"	1	""
"04070090"	1	""
"04081120"	0	"59"
"04081180"	0	"59"
"04081920"	0	"59"
"04081981"	0	"59"
"04081989"	0	"59"
"04089120"	0	"59"
"04089180"	0	"59"
"04089920"	0	"59"
"04089980"	0	"59"
"04090000"	1	""
"04100000"	1	""
"05010000"	1	""
"05021000"	0	"19"
"05029000"	0	"19"
"05030000"	1	""
"05040000"	0	"050400"
"05051010"	1	""
"05051090"	1	""
"05059000"	1	""
"05061000"	0	"19"
"05069000"	0	"19"
"05071000"	0	"19"
"05079000"	0	"19"
"05080000"	1	""
"05090010"	1	""
"05090090"	1	""
"05100000"	0	"19"
"05111000"	1	""
"05119110"	0	"051191"
"05119190"	0	"051191"
"05119910"	0	"19"
"05119990"	0	"19"
"06011010"	1	""
"06011020"	1	""
"06011030"	1	""
"06011040"	1	""
"06011090"	1	""
"06012010"	1	""
"06012030"	1	""
"06012090"	1	""
"06021010"	1	""
"06021090"	1	""
"06022010"	1	""
"06022090"	1	""
"06023000"	1	""
"06024010"	1	""
"06024090"	1	""
"06029010"	1	""
"06029020"	1	""
"06029030"	1	""
"06029041"	1	""
"06029045"	1	""
"06029049"	1	""
"06029051"	1	""
"06029059"	1	""
"06029070"	1	""
"06029091"	1	""
"06029099"	1	""
"06031010"	1	""
"06031020"	1	""
"06031030"	1	""
"06031040"	1	""
"06031050"	1	""
"06031080"	1	""
"06039000"	1	""
"06041010"	1	""
"06041090"	1	""
"06049121"	1	""
"06049129"	1	""
"06049141"	1	""
"06049149"	1	""
"06049190"	1	""
"06049910"	1	""
"06049990"	1	""
"07011000"	1	""
"07019010"	1	""
"07019050"	1	""
"07019090"	1	""
"07020000"	1	""
"07031011"	1	""
"07031019"	1	""
"07031090"	1	""
"07032000"	1	""
"07039000"	1	""
"07041000"	1	""
"07042000"	1	""
"07049010"	1	""
"07049090"	1	""
"07051100"	1	""
"07051900"	1	""
"07052100"	1	""
"07052900"	1	""
"07061000"	1	""
"07069010"	1	""
"07069030"	1	""
"07069090"	1	""
"07070005"	1	""
"07070090"	1	""
"07081000"	1	""
"07082000"	1	""
"07089000"	1	""
"07091000"	1	""
"07092000"	1	""
"07093000"	1	""
"07094000"	1	""
"07095100"	1	""
"07095200"	1	""
"07095910"	1	""
"07095930"	1	""
"07095990"	1	""
"07096010"	1	""
"07096091"	1	""
"07096095"	1	""
"07096099"	1	""
"07097000"	1	""
"07099010"	1	""
"07099020"	1	""
"07099031"	1	""
"07099039"	1	""
"07099040"	1	""
"07099050"	1	""
"07099060"	1	""
"07099070"	1	""
"07099090"	1	""
"07101000"	0	"071010"
"07102100"	0	"30"
"07102200"	0	"30"
"07102900"	0	"30"
"07103000"	0	"30"
"07104000"	0	"30"
"07108010"	0	"30"
"07108051"	0	"30"
"07108059"	0	"30"
"07108061"	0	"30"
"07108069"	0	"30"
"07108070"	0	"30"
"07108080"	0	"30"
"07108085"	0	"30"
"07108095"	0	"30"
"07109000"	0	"30"
"07112010"	0	"31"
"07112090"	0	"31"
"07113000"	0	"31"
"07114000"	0	"31"
"07115100"	0	"31"
"07115900"	0	"31"
"07119010"	0	"31"
"07119030"	0	"31"
"07119050"	0	"31"
"07119080"	0	"31"
"07119090"	0	"31"
"07122000"	0	"071220"
"07123100"	0	"32"
"07123200"	0	"32"
"07123300"	0	"32"
"07123900"	0	"32"
"07129005"	0	"071290"
"07129011"	0	"071290"
"07129019"	0	"071290"
"07129030"	0	"071290"
"07129050"	0	"071290"
"07129090"	0	"071290"
"07131010"	1	""
"07131090"	1	""
"07132000"	1	""
"07133100"	1	""
"07133200"	1	""
"07133310"	1	""
"07133390"	1	""
"07133900"	1	""
"07134000"	1	""
"07135000"	1	""
"07139010"	1	""
"07139090"	1	""
"07141010"	1	""
"07141091"	1	""
"07141099"	1	""
"07142010"	1	""
"07142090"	1	""
"07149011"	1	""
"07149019"	1	""
"07149090"	1	""
"08011100"	1	""
"08011900"	1	""
"08012100"	1	""
"08012200"	1	""
"08013100"	1	""
"08013200"	1	""
"08021110"	1	""
"08021190"	1	""
"08021210"	1	""
"08021290"	1	""
"08022100"	1	""
"08022200"	1	""
"08023100"	1	""
"08023200"	1	""
"08024000"	1	""
"08025000"	1	""
"08029020"	1	""
"08029050"	1	""
"08029060"	1	""
"08029085"	1	""
"08030011"	1	""
"08030019"	1	""
"08030090"	1	""
"08041000"	1	""
"08042010"	1	""
"08042090"	1	""
"08043000"	1	""
"08044000"	1	""
"08045000"	1	""
"08051010"	1	""
"08051030"	1	""
"08051050"	1	""
"08051080"	1	""
"08052010"	1	""
"08052030"	1	""
"08052050"	1	""
"08052070"	1	""
"08052090"	1	""
"08054000"	1	""
"08055010"	1	""
"08055090"	1	""
"08059000"	1	""
"08061010"	1	""
"08061090"	1	""
"08062011"	0	"080620"
"08062012"	0	"080620"
"08062018"	0	"080620"
"08062091"	0	"080620"
"08062092"	0	"080620"
"08062098"	0	"080620"
"08071100"	1	""
"08071900"	1	""
"08072000"	1	""
"08081010"	1	""
"08081020"	1	""
"08081050"	1	""
"08081090"	1	""
"08082010"	1	""
"08082050"	1	""
"08082090"	1	""
"08091000"	1	""
"08092005"	1	""
"08092095"	1	""
"08093010"	1	""
"08093090"	1	""
"08094005"	1	""
"08094090"	1	""
"08101000"	1	""
"08102010"	1	""
"08102090"	1	""
"08103010"	1	""
"08103030"	1	""
"08103090"	1	""
"08104010"	1	""
"08104030"	1	""
"08104050"	1	""
"08104090"	1	""
"08105000"	1	""
"08106000"	1	""
"08109030"	1	""
"08109040"	1	""
"08109095"	1	""
"08111011"	0	"35"
"08111019"	0	"35"
"08111090"	0	"35"
"08112011"	0	"35"
"08112019"	0	"35"
"08112031"	0	"35"
"08112039"	0	"35"
"08112051"	0	"35"
"08112059"	0	"35"
"08112090"	0	"35"
"08119011"	0	"35"
"08119019"	0	"35"
"08119031"	0	"35"
"08119039"	0	"35"
"08119050"	0	"35"
"08119070"	0	"35"
"08119075"	0	"35"
"08119080"	0	"35"
"08119085"	0	"35"
"08119095"	0	"35"
"08121000"	0	"36"
"08129010"	0	"36"
"08129020"	0	"36"
"08129030"	0	"36"
"08129040"	0	"36"
"08129050"	0	"36"
"08129060"	0	"36"
"08129070"	0	"36"
"08129099"	0	"36"
"08131000"	0	"37"
"08132000"	0	"37"
"08133000"	0	"37"
"08134010"	0	"37"
"08134030"	0	"37"
"08134050"	0	"37"
"08134060"	0	"37"
"08134070"	0	"37"
"08134095"	0	"37"
"08135012"	0	"37"
"08135015"	0	"37"
"08135019"	0	"37"
"08135031"	0	"37"
"08135039"	0	"37"
"08135091"	0	"37"
"08135099"	0	"37"
"08140000"	0	"081400"
"09011100"	1	""
